"","brand","product","name","specific","lightness","hex","lightToDark","numbers","id"
"1890","SMITH & CULT","Veiled Threat Weightless Micro-Blurring Foundation","Neutral","110",0.805882352941176,"#EBC8B0",TRUE,110,95
"1891","Dose Of Colors","Meet Your Hue Foundation","Light","110",0.796078431372549,"#F0CCA6",TRUE,110,103
"1892","FENTY BEAUTY by Rihanna","Pro Filt'r Soft Matte Powder Foundation",NA,"110",0.905882352941176,"#F6DED8",TRUE,110,96
"1893","FENTY BEAUTY by Rihanna","Pro Filt'r Soft Matte Longwear Foundation",NA,"110",0.92156862745098,"#FEDBD8",TRUE,110,97
"1894","Rare Beauty by Selena Gomez","Liquid Touch Weightless Foundation",NA,"110N",0.858823529411765,"#F4D6C2",TRUE,110,98
"1895","FENTY BEAUTY by Rihanna","Pro Filt'r Hydrating Longwear Foundation",NA,"110",0.917647058823529,"#FCDAD8",TRUE,110,99
"1896","HUDA BEAUTY","#FauxFilter Skin Finish Buildable Coverage Foundation Stick",NA,"110N",0.927450980392157,"#FCEFDD",TRUE,110,100
"1897","Gucci","Fluide De Beauté Fini Naturel - Natural Finish Fluid Foundation",NA,"110C",0.831372549019608,"#F4CDB4",TRUE,110,116
"1898","HUDA BEAUTY","#FauxFilter Full Coverage Matte Foundation","Angel Food","110N",0.798039215686275,"#EACAAD",TRUE,110,101
"1899","Shiseido","Synchro Skin Self-Refreshing Foundation SPF 30",NA,"110",0.888235294117647,"#F9E7CC",TRUE,110,117
"1900","La Mer","The Soft Fluid Long Wear Foundation SPF 20","Shell","110",0.864705882352941,"#FCD3BD",TRUE,110,118
"1901","Bite Beauty","Changemaker Supercharged Micellar Foundation",NA,"T110",0.637254901960784,"#CA947B",TRUE,110,82
"1902","Shiseido","Synchro Skin Self-Refreshing Custom Finish Powder Foundation","Alabaster","110",0.811764705882353,"#F0C8AE",TRUE,110,119
"1903","Givenchy","Teint Couture City Balm Radiant Perfecting Skin Tint SPF 25",NA,"C110",0.701960784313725,"#CEAF98",TRUE,110,107
